,Target ID,Plate ID,MJD,OBSVHELIO (km/s),OBSVREL Error (km/s)
165801,apo25m.5226.150-08-RV.2M03262567+4559489,9290,57760,-38.50466,2.0460649
165802,apo25m.5226.150-08-RV.2M03262567+4559489,9290,57788,-24.200636,5.2493052
165803,apo25m.5226.150-08-RV.2M03262567+4559489,9290,57789,-39.732044,1.5076963
165804,apo25m.5226.150-08-RV.2M03262567+4559489,9290,58006,-34.49639,1.388972
165805,apo25m.5226.150-08-RV.2M03262567+4559489,9290,58032,-39.033318,2.1623304
165806,apo25m.5226.150-08-RV.2M03262567+4559489,9290,58054,-33.191216,1.3229678
165807,apo25m.5226.150-08-RV.2M03262567+4559489,9290,58063,-54.095013,1.3154743
165808,apo25m.5226.150-08-RV.2M03262567+4559489,9290,58068,-43.707672,1.1473873
165809,apo25m.5226.150-08-RV.2M03262567+4559489,9290,58085,-38.796215,1.6843903
165810,apo25m.5226.150-08-RV.2M03262567+4559489,9290,58087,-36.5122,1.1960099
165811,apo25m.5226.150-08-RV.2M03262567+4559489,9290,58114,-34.20625,3.24976
165812,apo25m.5226.150-08-RV.2M03262567+4559489,9290,58143,-35.403267,1.3237296
165877,apo25m.5226.150-08-RV.2M03262827+4610388,9290,57706,10.347283,0.9439698
165878,apo25m.5226.150-08-RV.2M03262827+4610388,9290,57732,9.898592,0.7662335
165879,apo25m.5226.150-08-RV.2M03262827+4610388,9290,57734,4.1655674,0.88827807
165880,apo25m.5226.150-08-RV.2M03262827+4610388,9290,57735,3.1608105,0.93390656
165881,apo25m.5226.150-08-RV.2M03262827+4610388,9290,57760,-2.84124,0.68237454
165882,apo25m.5226.150-08-RV.2M03262827+4610388,9290,57788,12.947956,2.3153245
165883,apo25m.5226.150-08-RV.2M03262827+4610388,9290,57789,4.7880726,0.6459608
165884,apo25m.5226.150-08-RV.2M03262827+4610388,9290,58006,6.369154,0.85701954
165885,apo25m.5226.150-08-RV.2M03262827+4610388,9290,58032,-16.38306,1.2071244
165886,apo25m.5226.150-08-RV.2M03262827+4610388,9290,58054,4.2014523,0.72227836
165887,apo25m.5226.150-08-RV.2M03262827+4610388,9290,58063,0.45302963,0.6590127
165888,apo25m.5226.150-08-RV.2M03262827+4610388,9290,58068,11.41009,0.60072774
165889,apo25m.5226.150-08-RV.2M03262827+4610388,9290,58085,6.4460974,0.7950482
165890,apo25m.5226.150-08-RV.2M03262827+4610388,9290,58087,2.5877542,0.7374593
165891,apo25m.5226.150-08-RV.2M03262827+4610388,9290,58114,6.7716265,1.3009839
165892,apo25m.5226.150-08-RV.2M03262827+4610388,9290,58143,5.3057365,0.6512148
165990,apo25m.5226.150-08-RV.2M03263128+4648154,9290,57706,-3.6980805,1.2870178
165991,apo25m.5226.150-08-RV.2M03263128+4648154,9290,57732,-24.222542,1.106018
165992,apo25m.5226.150-08-RV.2M03263128+4648154,9290,57734,-24.169022,1.273442
165993,apo25m.5226.150-08-RV.2M03263128+4648154,9290,57735,-19.264246,1.5113666
165994,apo25m.5226.150-08-RV.2M03263128+4648154,9290,57760,8.6556835,1.4186823
165995,apo25m.5226.150-08-RV.2M03263128+4648154,9290,57788,-18.653337,2.4094212
165996,apo25m.5226.150-08-RV.2M03263128+4648154,9290,57789,-1.6644115,1.0649649
165997,apo25m.5226.150-08-RV.2M03263128+4648154,9290,58006,-16.214506,1.1460718
165998,apo25m.5226.150-08-RV.2M03263128+4648154,9290,58032,-18.952688,1.837765
165999,apo25m.5226.150-08-RV.2M03263128+4648154,9290,58054,-11.404617,1.00041
166000,apo25m.5226.150-08-RV.2M03263128+4648154,9290,58063,-14.56958,0.95477915
166001,apo25m.5226.150-08-RV.2M03263128+4648154,9290,58068,-24.277575,1.06244
166002,apo25m.5226.150-08-RV.2M03263128+4648154,9290,58085,-29.151318,1.1174531
166003,apo25m.5226.150-08-RV.2M03263128+4648154,9290,58087,-33.032276,1.0537726
166004,apo25m.5226.150-08-RV.2M03263128+4648154,9290,58114,-21.009678,2.2412357
166005,apo25m.5226.150-08-RV.2M03263128+4648154,9290,58143,-34.0767,0.9416805
166205,apo25m.5226.150-08-RV.2M03263984+4522118,9290,57706,-67.70565,0.0021759581
166206,apo25m.5226.150-08-RV.2M03263984+4522118,9290,57732,-67.81253,0.0019750241
166207,apo25m.5226.150-08-RV.2M03263984+4522118,9290,57734,-67.52205,0.002274109
166208,apo25m.5226.150-08-RV.2M03263984+4522118,9290,57735,-67.514824,0.002304972
166209,apo25m.5226.150-08-RV.2M03263984+4522118,9290,57760,-67.443344,0.0026455661
